web-scraper-order,web-scraper-start-url,link,link-href,info,info-href,loupan,dizhi,leixing,jibie,jiejian,wuyefei,kongtiaoleixing,ketishu,huotishu,cheweiyuezujin,dishangcheweishu,wangluotongxun,dixiacheweishu,wuyegongsi,louneipeitao,companies,security,floors,year,zongmianji,biaozhuncengmianji,biaozhuncenggao,Dixiachewei,jinggao,kaifashang,datangcenggao,shewai,kezhuce,kaijianmianji,waiqiang,rent
"1529413075-1351","https://sh.xzl.anjuke.com/loupan/p65/","智富源大厦","/loupan/10117?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10117","智富源大厦","虹口-四川北路-广中路88号","写字楼","乙级","智富源大厦位于虹口区广中路和中山北二路两条交通干道交叉口，门前即为内环高架广中路匝道和广中路隧道，交通方便。大厦低区外立面为大理石，中高区则采用全玻璃幕墙设计，庄严大气。大堂两层挑高，装饰讲究，简约舒适。大厦被中国图书进出口公司上海分公司买下，2-5层对外出租，以上层数为公司自用。大厦安保措施非常到位，办公环境整洁静谧，适合对企业形象要求较高的企业入驻。","12元/平米•月","集中式中央空调","1部","1部","600元/月","暂无","电信、联通、长城、移动、卫通","100个","暂无","食堂","企业名称：上海世界图书出版公司，所属行业：专业服务/教育/培训、企业名称：上海金泰文化音像有限公司，所属行业：专业服务/教育/培训、企业名称：上海东图广告公司，所属行业：广告/媒体、企业名称：上海中图文化发展有限公司，所属行业：广告/媒体、企业名称：现代音响技术编辑部，所属行业：广告/媒体","食堂","15层","2009年12月","9690m²","646m²","3.5米","100个","2.8米","上海凯旭置业有限公司","7米","否","是","60m²、70m²","玻璃幕墙","3.35元/m²•天"
"1529416057-1811","https://sh.xzl.anjuke.com/loupan/p49/","新利商务中心","/loupan/11186?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/11186","新利商务中心","长宁-中山公园-愚园路907号(靠近安西路)","写字楼","甲级","新利商务中心位于愚园路907号、近江苏路,是由三栋洋房组成，总建筑面积约4000平方米，A栋建面约2500，B栋1000，C栋800，现出租面积500-2000，项目地理位置优越，交通十分便利，门口有地铁2号线，11号线。","25元/平米•月","集中式中央空调、分体空调","4部","1部","1000元/月","12个","电信、联通、长城、铁通、移动","20个","新利物业","ATM、便利店、干洗店、商务中心、会议室","企业名称：中锐留学，所属行业：专业服务/教育/培训、企业名称：新利集团有限公司，所属行业：房地产/建筑、企业名称：上海享乐广告传播有限公司，所属行业：广告/媒体、企业名称：中瑞留学，所属行业：专业服务/教育/培训、企业名称：上海烟草集团烟酒专卖店，所属行业：贸易/消费/制造/营运","ATM、便利店、干洗店、商务中心、会议室","5层","1990年2月","3500m²","500m²","3.8米","20个","2.8米","新利集团有限公司","3.5米","是","是","500m²","暂无","2.67元/m²•天"
"1529423020-3092","https://sh.xzl.anjuke.com/loupan/p7/","长泰广场","/loupan/191104?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/191104","长泰广场","浦东-张江-祖冲之路与金科路交叉处(金科路2278号)","商业综合体","甲级","长泰广场位于张江高科技园区核心地段，地铁2号线金科路地铁站上盖。地铁2号线连接虹桥、浦东两大航空门户，沿途收尽上海最繁华商圈，如人民公园商圈、陆家嘴商圈、中山公园商圈、南京西路商圈等，而作为张江高科技园区核心区的商业项目，长泰广场必将成为浦东新的商业中心。","30元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","仲量联行物业管理有限公司","暂无","暂无","暂无","6层","2013年6月","320000m²","暂无","暂无","暂无","暂无","长甲集团","暂无","是","是","暂无","暂无","暂无数据"
"1529422377-2960","https://sh.xzl.anjuke.com/loupan/p11/","浦发广场写字楼","/loupan/383299?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/383299","浦发广场写字楼","普陀-中山北路-中山北路1715号","写字楼","甲级","暂无数据","8.4元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","3.24元/m²•天"
"1529416469-1882","https://sh.xzl.anjuke.com/loupan/p47/","安利大楼","/loupan/10413?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10413","安利大楼","黄浦-南京东路-四川中路320号","写字楼","乙级","安利大楼于1907年建成完工，是一幢七层现浇钢筋混凝土梁、板、柱结构体系大楼。房屋平面形式呈梯型，是简化的古典式样建筑。　　四川中路、九江路口转角处为主入口，层间有带状白色水泥嵌饰，顶部出檐，部分窗有弧形砖过拱或半圆券，形成构图中心，房屋外墙为红色清水砖墙表面，石灰勾缝，整个立面精美，大楼钢筋混凝土柱均为方柱，截面尺寸逐层减小。大楼柱间布置有主梁、次梁。外墙体厚为一砖和一砖半，内墙体厚为一砖，直接","3.5元/平米•月","分体空调","1部","1部","500元/月","暂无","电信、联通、移动","暂无","暂无","银行、ATM、餐饮、干洗店","企业名称：上海市工商联民办教育协会，所属行业：政府/非赢利机构/其他、企业名称：上海市渔政监督管理处，所属行业：政府/非赢利机构/其他、企业名称：上海梅山梅星实业有限公司，所属行业：房地产/建筑、企业名称：上海华夏会计师事务所，所属行业：专业服务/教育/培训、企业名称：上海锦清实业有限公司，所属行业：专业服务/教育/培训","银行、ATM、餐饮、干洗店","7层","1983年8月","3216m²","300m²","3米","暂无","2.8米","上海黄浦投资集团置地有限公司","4.5米","否","否","75m²","面砖","7.1元/m²•天"
"1529405967-25","https://sh.xzl.anjuke.com/loupan/p110/","春天商务楼","/loupan/10808?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10808","春天商务楼","徐汇-上海南站-石龙路345弄7号","写字楼","乙级","春天商务楼位于石龙路近永川路，毗邻上海南站，临近地铁3号线石龙路站，交通便捷，周边多老厂房。大厦5层高，体量较小，外观朴素，涂料粉刷，单元分割均为小户型，从46-65不等，租金低廉，适合初创期小企业租赁。","暂无","分体空调","1部","暂无","暂无","20个","电信、联通、移动","暂无","暂无","暂无","企业名称：上海云旭网络科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海拓伏电子工程有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海腾江医疗器械有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海保利佐川物流有限公司，所属行业：物流/运输、企业名称：上海加迪斯清洁品有限公司，所属行业：贸易/消费/制造/营运","暂无","5层","2005年1月","2500m²","500m²","3米","暂无","2.5米","上海则兴","3米","是","是","46m²、65m²","涂料","暂无数据"
"1529423209-3130","https://sh.xzl.anjuke.com/loupan/p5/","上海湾鄂尔多斯大厦","/loupan/100002?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/100002","上海湾鄂尔多斯大厦","浦东-八佰伴-浦东南路1118号","商业综合体","甲级","鄂尔多斯国际大厦位于浦东南路、张杨路黄金交汇口，占地1.74万平方米，平面轮廓呈L形，容积率2.33。地上总建筑面积 4.04万平方米, 由一组 250 米长格调商业街和21层办公主楼组成。商业街层高3层，局部2层，是一条贯穿原创工坊、创意艺术、时尚餐饮等特色格调为一体的新海派创意步行街, 整合出多元交汇、百川激荡的创意经济空间;街区两端为连通地下一层的下沉式广场。","28元/平米•月","分体空调","6部","1部","1650元/月","80个","电信、移动","260个","上海鄂尔多斯置业经营管理有限公司","银行、ATM、餐饮、商务中心、会议室","企业名称：上海養樂多贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：内蒙古伊泰集团有限公司，所属行业：贸易/消费/制造/营运、企业名称：兆智国际贸易（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：香港五斗米馆国际有限公司上海办事处，所属行业：专业服务/教育/培训、企业名称：上海新方程股权投资管理有限公司，所属行业：会计/金融/银行/保险","银行、ATM、餐饮、商务中心、会议室","22层","2007年8月","624000m²","22000m²","3.6米","260个","2.8米","鄂尔多斯集团上海久大置业有限公司","4.8米","否","是","1250m²","玻璃幕墙","6.08元/m²•天"
"1529410576-941","https://sh.xzl.anjuke.com/loupan/p78/","轻科大厦","/loupan/10713?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10713","轻科大厦","徐汇-淮海西路-上海汾阳路138号","写字楼","乙级","上海轻科大厦总建筑面积为15000平方米,是一幢12层高级智能化办公大厦。大厦具有宽敞明亮的大空间办公室环境和各类小型办公用房,光缆宽带网络系统接入,全方位满足用户的需要,让你在第一时间掌握时代信息。布局精心,品格高雅,是古典与现代的完美融合。顶楼天际线层层升高,底层复合门廊曲折环绕,宛如一首现代版的古典音乐,恢宏而不失其雅致,别具风韵。在这里成就您的事业巅峰,当属高层办公人士首选。","29元/平米•月","暂无","3部","1部","1100元/月","20个","电信、联通、移动、卫通","70个","暂无","ATM、餐饮、便利店、会展中心","企业名称：肯德基(新金桥路店)，所属行业：贸易/消费/制造/营运、企业名称：通用磨坊有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海家缘房地产咨询有限公司，所属行业：房地产/建筑、企业名称：上海幸洋电子有限公司，所属行业：计算机/互联网/通信/电子、企业名称：瑞记洋行有限公司，所属行业：贸易/消费/制造/营运","ATM、餐饮、便利店、会展中心","12层","2003年1月","15000m²","1354m²","4.84米","70个","2.6米","上海轻科投资技术开放有限公司","10米","是","是","70m²、100m²、130m²、187m²、300m²","暂无","暂无数据"
"1529423691-3230","https://sh.xzl.anjuke.com/loupan/p2/","双鸽大厦","/loupan/10173?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10173","双鸽大厦","浦东-竹园商贸区-浦电路438号","写字楼","甲级","世纪凯厦位于上海市浦电路438号。 双鸽大厦地理位置优越，融入陆家嘴CBD，与世博园区呼应，商茂氛围浓郁，配套设施完善，同时双鸽大厦仅有八十余单元，资源配置合理。但双鸽大厦并未处于陆家嘴CBD中心区域，交通与中心区域相比略显不便，世博园区的兴盛以及地铁4、6号线的即将开通显示双鸽大厦有其升值潜力，同时陆家嘴金融区影响力向其边缘地区不断渗透扩张也使其行情为人看好。南北外滩的进一步开发，重筑金融大商圈","22元/平米•月","暂无","5部","1部","1000元/月","50个","电信、联通、移动、卫通","100个","第一太平戴维斯物业顾问（上海）有限公司","ATM、便利店","企业名称：浙大期货，所属行业：会计/金融/银行/保险、企业名称：鲁海期货，所属行业：会计/金融/银行/保险、企业名称：恒安电子，所属行业：计算机/互联网/通信/电子、企业名称：阑盛高级成衣定制，所属行业：贸易/消费/制造/营运、企业名称：上海竞博工贸有限公司，所属行业：贸易/消费/制造/营运","ATM、便利店","17层","2004年4月","40356m²","2000m²","3.5米","100个","2.7米","上海永生招商发展有限公司","14米","是","是","328m²、210m²、329m²、265m²、341m²、000m²、000m²","玻璃幕墙","5.58元/m²•天"
"1529420231-2505","https://sh.xzl.anjuke.com/loupan/p26/","百第宜山大厦","/loupan/17294?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/17294","百第宜山大厦","徐汇-田林-中山西路2006号","综合写字楼","丙级","该楼盘地处中山西路、宜山路口，是1栋11层的全装修商住两用楼。整体房型以小户型为主，面积在30－60平米之间。周边靠近宜山路轻轨站，多条公交线路使住户出行十分便捷。","7元/平米•月","分体空调","2部","1部","300元/月","50个","电信、长城","暂无","暂无","银行、餐饮、商务中心、会议室、会展中心","企业名称：上海聪聪乐食品有限公司   ，所属行业：能源/原材料","银行、餐饮、商务中心、会议室、会展中心","11层","2003年11月","20000m²","1000m²","3.2米","暂无","2.8米","上海百第置业有限公司","4.2米","否","是","100；50；m²","涂料","暂无数据"
"1529421779-2839","https://sh.xzl.anjuke.com/loupan/p15/","朗诗藏峰","/loupan/402745?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/402745","朗诗藏峰","普陀-长风商务区-云岭东路599弄16号","写字楼","甲级","暂无数据","17元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","上海朗诗物业有限公司","暂无","暂无","暂无","17层","2010年07月","暂无","暂无","暂无","暂无","暂无","朗诗集团","暂无","是","是","暂无","暂无","暂无数据"
"1529418435-2216","https://sh.xzl.anjuke.com/loupan/p36/","沪西德必易园","/loupan/341861?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/341861","沪西德必易园","普陀-真如-真南路150号","创意园区","乙级","暂无数据","10.5元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","5层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","2.94元/m²•天"
"1529416246-1839","https://sh.xzl.anjuke.com/loupan/p48/","国际金融家","/loupan/11001?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/11001","国际金融家","浦东-竹园商贸区-浦电路400号","综合写字楼","丙级","“国际金融家”位于浦电路、福山路、临近明珠二号线浦电路站，毗邻瑞吉红塔大酒店、浦东假日酒店等顶级酒店、浦项商务广场、城建国际中心、同盛大厦、金华软件园、浦项广场、双鸽大厦、期货大厦、一百彬彬等高档写字楼，项目的正南面是即将动工的城市森林公园。小区由1幢14层小高层和1幢26层高层组成，总计住宅92套，以集中绿化为主。包括纯住宅和酒店式公寓两部分。","4.5元/平米•月","分体空调","3部","1部","1000元/月","120个","电信、联通、移动","500个","上海兴业投资发展有限公司","银行、ATM、便利店、商务中心","企业名称：昊业房产，所属行业：房地产/建筑、企业名称：上海久明国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海杰达投资咨询有限公司，所属行业：贸易/消费/制造/营运","银行、ATM、便利店、商务中心","30层","2000年6月","31000m²","570m²","3.8米","500个","2.7米","上海兴业投资发展有限公司","12米","否","是","120m²","涂料","3.1元/m²•天"
"1529412099-1183","https://sh.xzl.anjuke.com/loupan/p70/","埃力生轻工国际大厦","/loupan/45006?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/45006","埃力生轻工国际大厦","虹口-临平路-四平路198号","写字楼","甲级","轻工国际大厦坐落于四平路以东、临平北路以南、银欣路以西、物华路以北，此范围内，较多老式的办公楼，家纺大厦、海事大厦、盛泰国际大厦都与轻工国际大厦毗邻，周边商业密集，四平路上车来人往，车行至外滩只需5分钟左右的时间，交通相对方便。","30元/平米•月","暂无","3部","1部","100元/月","50个","电信、联通","200个","暂无","银行、ATM、餐饮、便利店、食堂","企业名称：民安保险(中国)有限公司，所属行业：会计/金融/银行/保险、企业名称：上海港集国际物流有限公司，所属行业：物流/运输、企业名称：上海喜尔宜国际物流有限公司，所属行业：物流/运输、企业名称：上海三江国际货运有限公司，所属行业：物流/运输","银行、ATM、餐饮、便利店、食堂","25层","1997年1月","15040m²","600m²","3.8米","200个","2.4米","上海轻工国际集团有限公司","5米","是","是","100m²、600m²","大理石","2.03元/m²•天"
"1529414452-1570","https://sh.xzl.anjuke.com/loupan/p57/","复地领馆","/loupan/341043?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/341043","复地领馆","宝山-大华-友谊路1528弄","商业综合体","乙级","复地领馆位于上海宝山区友谊路，地上面积约13万平方米，地下面积约7万平方米。花园式独栋建筑75幢，独栋商业大楼23幢，配套青年公寓2幢。整个项目是由复地集团和上海钢联投资合资开发，集园林办公、生态独栋等多种业态于一体。","4.2元/平米•月","半集中式中央空调、分体空调","20部","3部","暂无","146个","电信","暂无","上海新市北物业管理有限公司","便利店","暂无","便利店","15层","2013年5月","200000m²","500m²","暂无","暂无","暂无","上海沪钢置业发展有限公司","暂无","否","是","526m²、 665m²","大理石","暂无数据"
"1529421131-2704","https://sh.xzl.anjuke.com/loupan/p20/","创智空间","/loupan/155268?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/155268","创智空间","浦东-张江-金科路2966号","创意园区","乙级","创智空间位于张江软件园中心地带，金科路2966号，金科路和祖冲之路十字路口，是现代化高级办公楼，外观大气沉稳，距离地铁站步行仅需花费5分钟，交通便利，地理位置优越，租金合理，设施齐全，装修现代，房型布局合理，灵活分割，可满足企业人性化设计的追求。","25元/平米•月","集中式中央空调、半集中式中央空调","1部","1部","500元/月","30个","电信、联通、移动","80个","中航物业","食堂、ATM、餐饮、便利店、会议室","企业名称：索享(上海)科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：富士FUJI-富士（中国）控股有限公司，所属行业：贸易/消费/制造/营运、企业名称：致东光电科技(上海)有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海麦琳实业有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海MIN高机电工程有限公司，所属行业：贸易/消费/制造/营运","食堂、ATM、餐饮、便利店、会议室","6层","暂无","20000m²","2000m²","6米","80个","5米","上海明泉房地产开发有限公司","6米","是","是","100m²、250m²、500m²","玻璃幕墙","5.07元/m²•天"
"1529417167-1975","https://sh.xzl.anjuke.com/loupan/p44/","玉嘉大厦","/loupan/11217?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/11217","玉嘉大厦","长宁-延安西路-华山路1336号","综合写字楼","丙级","上海玉嘉大厦坐落于上海市华山路平武路口，邻近江苏路及延安西路，东眺花园式五星级的兴国宾馆，南视31500平方米的华山绿地，西及上海影城，坐拥徐家汇、中山公园、静安寺的核心位置。玉嘉大厦为上海市外经贸委特批的涉外办公大楼，外资企业云集。大厦总高20层，每层建筑层高3米，每层面积约1100平方米，配有24小时保安服务，停车位30多个，客用电梯2部，拥有完善的智能安保和消防系统。　　本大厦由上海中建房产","57元/平米•月","暂无","2部","1部","800元/月","20个","电信、联通、铁通、移动","100个","暂无","ATM、便利店","企业名称：上海仁思商务咨询有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海北亚华欣置业有限公司，所属行业：房地产/建筑、企业名称：美国普特股份有限公司上海代表，所属行业：贸易/消费/制造/营运、企业名称：香港金钥贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海雅门建筑设计工程有限公司，所属行业：房地产/建筑","ATM、便利店","20层","1997年5月","19800m²","1200m²","3米","100个","2.6米","上海中建房地产有限公司","6米","是","是","110m²、180m²、360m²","面砖","3.55元/m²•天"
"1529407969-444","https://sh.xzl.anjuke.com/loupan/p95/","国展388","/loupan/342822?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/342822","国展388","浦东-上南地区-国展路388号","写字楼","甲级","暂无数据","26元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","上海缔帑实业有限公司","暂无","暂无","暂无","3层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","暂无数据"
"1529407532-358","https://sh.xzl.anjuke.com/loupan/p98/","凯翔商务中心","/loupan/156807?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/156807","凯翔商务中心","徐汇-万体馆-漕东支路1-9号","写字楼","乙级","凯翔商务中心位于徐汇区漕东支路1-5号，周边交通便利，离漕宝路地铁站5分钟路程，距离沪闵路高架车程3分钟。楼宇环境一般，物业管理稍显欠缺，户型以100平米一下小面积为主，房源较为紧张。","暂无","分体空调","1部","暂无","暂无","暂无","电信、移动","暂无","上海美通物业管理有限公司","银行、ATM、餐饮、干洗店、商务中心","企业名称：申远家庭装潢设计有限公司，所属行业：房地产/建筑、企业名称：上海佰品商贸有限公司，所属行业：贸易/消费/制造/营运、企业名称：帝派计算机科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：伟星钮扣有限公司，所属行业：贸易/消费/制造/营运、企业名称：亚园经贸公司，所属行业：贸易/消费/制造/营运","银行、ATM、餐饮、干洗店、商务中心","4层","2003年9月","暂无","2030m²","3米","暂无","2.6米","暂无","3米","否","是","30m²、90m²","面砖","暂无数据"
"1529416539-1897","https://sh.xzl.anjuke.com/loupan/p47/","兴迪商务大厦","/loupan/17495?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/17495","兴迪商务大厦","徐汇-漕河泾-宜山路1698号","写字楼","甲级","兴迪商务大厦坐落于上海市闵行区虹桥地区，宜山路莲花路口，毗邻漕河泾开发区绿色科技绿洲，为全装修办公楼。租金合理、设施齐全、装修现代、物业管理周到、为商家提供一流的商务服务、房型布局合理、灵活分割可满足各企业人性化的设计追求、是企业领袖精明睿智之选择。...","15元/平米•月","分体空调","2部","1部","350元/月","98个","电信、联通、长城、铁通、移动","150个","上海兴迪实业有限公司","食堂、商务中心、会议室","企业名称：笔特信息科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：思拓软件(上海)有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海德昊化工有限公司，所属行业：能源/原材料、企业名称：威图热能技术有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海合增物资回收公司，所属行业：贸易/消费/制造/营运、企业名称：笔特信息科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：思拓软件(上海)有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海德昊化工有限公司，所属行业：贸易/消费/制造/营运、企业名称：威图热能技术有限公司，所属行业：贸易/消费/制造/营运、企业名称：建碁中国公司，所属行业：贸易/消费/制造/营运","食堂、商务中心、会议室","14层","2008年3月","20000m²","1400m²","2.7米","150个","2.7米","上海兴迪实业","12米","否","是","120m²、1500m²","玻璃幕墙","3.55元/m²•天"
"1529408712-593","https://sh.xzl.anjuke.com/loupan/p90/","东新大楼","/loupan/221976?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/221976","东新大楼","静安-火车站-虬江路997弄1号","综合写字楼","乙级","暂无数据","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","22层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","否","是","暂无","暂无","暂无数据"
"1529416050-1810","https://sh.xzl.anjuke.com/loupan/p49/","太平人寿大厦","/loupan/10675?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10675","太平人寿大厦","浦东-世纪公园-民生路1399号","写字楼","甲级","太平人寿大厦是现代化高级办公楼，太平人寿大厦位于市区繁华地段，地理位置优越交通便利，租金合理，设施齐全，装修现代，是企业领袖精明睿智之选择。太平人寿大厦的物业管理周到，为商家提供一流的商务服务。太平人寿大厦房型布局合理，灵活分割可满足各企业人性化的设计追求。　　位居浦东中央政务区核心，优势资源林立左右。三轨、三架并行其间，高效高务看得见。众多人文设施，彰显高品位办公新空间。","31元/平米•月","集中式中央空调","3部","1部","500元/月","35个","电信、联通、长城、铁通、移动、卫通","200个","上海公益物业管理有限公司","银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心","企业名称：上海捷铭律师事务所，所属行业：专业服务/教育/培训、企业名称：上海大威德投资有限公司，所属行业：会计/金融/银行/保险、企业名称：星汉兴业有限公司，所属行业：贸易/消费/制造/营运、企业名称：浦东新区财政局专项资金管理中心，所属行业：政府/非赢利机构/其他、企业名称：太平人寿保险有限公司，所属行业：会计/金融/银行/保险","银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心","18层","1999年6月","27849m²","1300m²","3.9米","200个","2.7米","上海信息大厦有限公司","5.5米","是","是","97m²、105m²、153m²","玻璃幕墙","5.07元/m²•天"
"1529414197-1516","https://sh.xzl.anjuke.com/loupan/p59/","英沃工场","/loupan/397998?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/397998","英沃工场","徐汇-万体馆-漕宝路36号","写字楼","甲级","暂无数据","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","上海荧沃投资有限公司","暂无","暂无","暂无","暂无","2016年01月","暂无","暂无","暂无","暂无","暂无","上海荧沃投资管理有限公司","暂无","是","是","暂无","暂无","4.06元/m²•天"
"1529413092-1354","https://sh.xzl.anjuke.com/loupan/p65/","华融国际大厦","/loupan/10316?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10316","华融国际大厦","长宁-延安西路-延安西路1448弄1号","写字楼","丙级","华融国际大厦位于延安西路、定西路口，步行至地铁三号线、四号线只需5分钟。大厦坐享凯桥绿地的绿化美景，办公之余怡神视野。大厦是层高为8层的小高层，外表看上去很像商品房。入驻的企业多为中小企业。","24元/平米•月","分体空调","1部","暂无","300元/月","30个","电信、联通、移动","暂无","暂无","暂无","企业名称：惠普维修中心，所属行业：计算机/互联网/通信/电子、企业名称：上海科力传动机械有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海市商维实业有限公司，所属行业：房地产/建筑、企业名称：爱比思（上海）国际贸易，所属行业：贸易/消费/制造/营运、企业名称：上海扬艺园林工程有限公司，所属行业：房地产/建筑","暂无","8层","2004年11月","7000m²","625m²","3米","暂无","2.6米","上海市华建置业有限公司","3.5米","是","是","300m²、320m²","面砖","3.04元/m²•天"
"1529416960-1946","https://sh.xzl.anjuke.com/loupan/p45/","中国梦谷（青浦）","/loupan/397563?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/397563","中国梦谷（青浦）","青浦-青浦-华徐公路888号","写字楼","甲级","暂无数据","10元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","1.83元/m²•天"
"1529408871-623","https://sh.xzl.anjuke.com/loupan/p89/","康琳创意园二期","/loupan/382967?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/382967","康琳创意园二期","浦东-上南地区-浦东新区杨高南路2877弄","写字楼","甲级","暂无数据","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","暂无数据"
"1529406294-85","https://sh.xzl.anjuke.com/loupan/p107/","红光商务楼","/loupan/11460?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/11460","红光商务楼","嘉定-江桥-昌化路492号","写字楼","甲级","暂无数据","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","暂无数据"
"1529407547-361","https://sh.xzl.anjuke.com/loupan/p98/","三湘商业广场","/loupan/158278?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/158278","三湘商业广场","松江-泗泾-横港路18弄","商业街","甲级","暂无数据","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","2层","2011年5月","暂无","暂无","暂无","暂无","暂无","上海三湘祥腾湘麒投资有限公司","暂无","是","是","暂无","暂无","暂无数据"
